State Fips Code,County Fips Code,Name,Housing Unit Estimate,Rodent Estimate,90% CI Lower Bound,90% CI Upper Bound
22,015,"Bossier Parish, LA","58,307"," 	4,533 "," 	1,981 "," 	7,085 "
22,017,"Caddo Parish, LA","113,577"," 	9,694 "," 	4,432 "," 	14,957 "
22,019,"Calcasieu Parish, LA","93,183"," 	7,717 "," 	3,373 "," 	12,061 "
22,021,"Caldwell Parish, LA","5,288", 	607 , 	265 , 	948 
22,023,"Cameron Parish, LA","4,277", 	507 , 	221 , 	792 
22,025,"Catahoula Parish, LA","5,043", 	873 , 	382 ," 	1,365 "
22,027,"Claiborne Parish, LA","7,910"," 	1,201 ", 	525 ," 	1,876 "
22,029,"Concordia Parish, LA","9,686"," 	1,160 ", 	507 ," 	1,813 "
22,031,"De Soto Parish, LA","13,400"," 	1,866 ", 	816 ," 	2,917 "
22,033,"East Baton Rouge Parish, LA","196,145"," 	12,449 "," 	6,368 "," 	18,531 "
22,035,"East Carroll Parish, LA","2,896", 	360 , 	157 , 	562 
22,037,"East Feliciana Parish, LA","8,645"," 	1,586 ", 	693 ," 	2,479 "
22,039,"Evangeline Parish, LA","15,145"," 	2,026 ", 	886 ," 	3,167 "
22,041,"Franklin Parish, LA","9,403"," 	1,255 ", 	549 ," 	1,962 "
22,043,"Grant Parish, LA","9,487"," 	1,918 ", 	838 ," 	2,998 "
22,045,"Iberia Parish, LA","30,819"," 	3,126 "," 	1,408 "," 	4,844 "
22,047,"Iberville Parish, LA","13,637"," 	1,816 ", 	794 ," 	2,839 "
22,049,"Jackson Parish, LA","7,957"," 	1,321 ", 	577 ," 	2,064 "
22,051,"Jefferson Parish, LA","188,656"," 	11,241 "," 	6,776 "," 	15,707 "
22,053,"Jefferson Davis Parish, LA","14,156"," 	2,035 ", 	889 ," 	3,180 "
22,055,"Lafayette Parish, LA","105,058"," 	6,388 "," 	2,893 "," 	9,883 "
22,057,"Lafourche Parish, LA","41,920"," 	3,744 "," 	1,636 "," 	5,851 "
22,059,"La Salle Parish, LA","6,764"," 	1,125 ", 	492 ," 	1,758 "
22,061,"Lincoln Parish, LA","20,576"," 	1,799 ", 	877 ," 	2,721 "
22,063,"Livingston Parish, LA","58,646"," 	4,467 "," 	1,999 "," 	6,935 "
22,065,"Madison Parish, LA","5,237", 	528 , 	231 , 	825 
22,067,"Morehouse Parish, LA","12,736"," 	1,667 ", 	728 ," 	2,605 "
22,069,"Natchitoches Parish, LA","19,341"," 	2,026 ", 	885 ," 	3,166 "
22,071,"Orleans Parish, LA","192,237"," 	14,314 "," 	9,552 "," 	19,076 "
22,073,"Ouachita Parish, LA","69,471"," 	5,865 "," 	2,563 "," 	9,167 "
22,075,"Plaquemines Parish, LA","10,342", 	566 , 	243 , 	888 
22,077,"Pointe Coupee Parish, LA","11,730"," 	1,163 ", 	508 ," 	1,817 "
22,079,"Rapides Parish, LA","58,721"," 	6,195 "," 	2,708 "," 	9,683 "
22,081,"Red River Parish, LA","4,247", 	750 , 	328 ," 	1,172 "
22,083,"Richland Parish, LA","9,068"," 	1,401 ", 	612 ," 	2,189 "
