ID,Name,State,temperature,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,,
WV-007,Braxton County,West Virginia,57.2,4.7,125,52.5,,
WV-009,Brooke County,West Virginia,54.7,5.2,124,49.5,,
WV-011,Cabell County,West Virginia,58.7,4.7,125,54,,
WV-013,Calhoun County,West Virginia,57.2,4.9,124,52.3,,
WV-015,Clay County,West Virginia,57.2,4.3,122,52.9,,
WV-017,Doddridge County,West Virginia,56.6,5.3,127,51.3,,
WV-019,Fayette County,West Virginia,55.5,4.2,121,51.3,,
WV-021,Gilmer County,West Virginia,57.2,5,126,52.2,,
WV-023,Grant County,West Virginia,54.2,5.1,127,49.1,,
WV-025,Greenbrier County,West Virginia,53.8,4.9,125,48.9,,
WV-027,Hampshire County,West Virginia,54.9,4.2,123,50.7,,
WV-029,Hancock County,West Virginia,53.6,4.6,122,49,,
WV-031,Hardy County,West Virginia,54.5,4.3,124,50.2,,
WV-033,Harrison County,West Virginia,56.2,5.2,127,51,,
WV-035,Jackson County,West Virginia,56.8,3.8,117,53,,
WV-037,Jefferson County,West Virginia,56.4,4.9,123,51.5,,
WV-039,Kanawha County,West Virginia,57.9,4.2,122,53.7,,
WV-041,Lewis County,West Virginia,57.1,5.5,127,51.6,,
WV-043,Lincoln County,West Virginia,59.3,4.9,125,54.4,,
WV-045,Logan County,West Virginia,58.9,4.6,125,54.3,,
WV-047,McDowell County,West Virginia,56.8,4.3,123,52.5,,
WV-049,Marion County,West Virginia,55.9,5.3,127,50.6,,
WV-051,Marshall County,West Virginia,54.9,4.8,124,50.1,,
WV-053,Mason County,West Virginia,56,2.7,100,53.3,,
WV-055,Mercer County,West Virginia,54.7,3.8,120,50.9,,
WV-057,Mineral County,West Virginia,55.4,4.4,124,51,,
WV-059,Mingo County,West Virginia,59.4,4.6,125,54.8,,
WV-061,Monongalia County,West Virginia,55.6,5.5,127,50.1,,
WV-063,Monroe County,West Virginia,55.9,4.9,126,51,,
WV-065,Morgan County,West Virginia,54.8,4.1,118,50.7,,
WV-067,Nicholas County,West Virginia,54.6,4.1,121,50.5,,
WV-069,Ohio County,West Virginia,54.9,5.4,125,49.5,,
WV-071,Pendleton County,West Virginia,53.6,5.4,127,48.2,,
WV-073,Pleasants County,West Virginia,57.2,5.8,128,51.4,,
WV-075,Pocahontas County,West Virginia,50.9,5,125,45.9,,
WV-077,Preston County,West Virginia,53.6,5.8,128,47.8,,
WV-079,Putnam County,West Virginia,57.6,3.9,116,53.7,,
WV-081,Raleigh County,West Virginia,55.3,4.2,122,51.1,,
WV-083,Randolph County,West Virginia,51.8,5.5,127,46.3,,
WV-085,Ritchie County,West Virginia,57.2,5.5,127,51.7,,
WV-087,Roane County,West Virginia,57.2,4.5,121,52.7,,
WV-089,Summers County,West Virginia,56,4.3,123,51.7,,
WV-091,Taylor County,West Virginia,55.7,5.2,127,50.5,,
WV-093,Tucker County,West Virginia,51.7,5.7,126,46,,
WV-095,Tyler County,West Virginia,56.6,5.5,128,51.1,,
WV-097,Upshur County,West Virginia,56,5.8,127,50.2,,
WV-099,Wayne County,West Virginia,59.6,5.2,126,54.4,,
WV-101,Webster County,West Virginia,53.6,4.5,123,49.1,,
WV-103,Wetzel County,West Virginia,55.5,5,127,50.5,,
WV-105,Wirt County,West Virginia,57.5,5.4,127,52.1,,
WV-107,Wood County,West Virginia,57.9,5.7,127,52.2,,
WV-109,Wyoming County,West Virginia,56.7,4.2,123,52.5,,
WI-001,Adams County,Wisconsin,46.4,2.4,95,44,,
WI-003,Ashland County,Wisconsin,41.6,2.6,99,39,,
WI-005,Barron County,Wisconsin,44.1,1.7,87,42.4,,
WI-007,Bayfield County,Wisconsin,42.1,3,106,39.1,,
WI-009,Brown County,Wisconsin,46.7,4.8,120,41.9,,
WI-011,Buffalo County,Wisconsin,46.5,1.5,85,45,,
WI-013,Burnett County,Wisconsin,44.1,2.2,91,41.9,,
WI-015,Calumet County,Wisconsin,46.8,3.9,112,42.9,,
WI-017,Chippewa County,Wisconsin,44.9,1.8,85,43.2,,
WI-019,Clark County,Wisconsin,44.5,1.9,87,42.6,,
WI-021,Columbia County,Wisconsin,48.4,3.5,111,44.9,,
WI-023,Crawford County,Wisconsin,47.4,1.1,83,46.3,,
WI-025,Dane County,Wisconsin,48.8,3.3,108,45.5,,
WI-027,Dodge County,Wisconsin,47.6,2.8,105,44.8,,
WI-029,Door County,Wisconsin,44.5,4.3,117,40.2,,
WI-031,Douglas County,Wisconsin,42.5,3,106,39.5,,
WI-033,Dunn County,Wisconsin,46,2,88,44,,
WI-035,Eau Claire County,Wisconsin,45.9,2.2,92,43.7,,
WI-037,Florence County,Wisconsin,41.8,3.3,106,38.5,,
WI-039,Fond du Lac County,Wisconsin,47.5,3.7,112,43.8,,
WI-041,Forest County,Wisconsin,41.4,2.9,100,38.5,,
WI-043,Grant County,Wisconsin,48.4,1.7,87,46.7,,
WI-045,Green County,Wisconsin,48.5,2.2,98,46.3,,
WI-047,Green Lake County,Wisconsin,47.8,3.3,110,44.5,,
WI-049,Iowa County,Wisconsin,47.6,1.9,89,45.7,,
WI-051,Iron County,Wisconsin,40.6,2.4,93,38.2,,
WI-053,Jackson County,Wisconsin,45.9,2.1,90,43.8,,
WI-055,Jefferson County,Wisconsin,48.5,2.7,99,45.8,,
WI-057,Juneau County,Wisconsin,46.2,2,89,44.2,,
WI-059,Kenosha County,Wisconsin,49.8,4,117,45.8,,
WI-061,Kewaunee County,Wisconsin,46,4.8,123,41.2,,
WI-063,La Crosse County,Wisconsin,47.1,1.7,85,45.4,,
WI-065,Lafayette County,Wisconsin,47.7,1.4,83,46.3,,
WI-067,Langlade County,Wisconsin,42.5,2.9,98,39.6,,
WI-069,Lincoln County,Wisconsin,42.8,2.6,92,40.2,,
WI-071,Manitowoc County,Wisconsin,46.8,4.8,122,42,,
WI-073,Marathon County,Wisconsin,44.5,2.8,96,41.7,,
WI-075,Marinette County,Wisconsin,44,3.4,110,40.6,,
WI-077,Marquette County,Wisconsin,47.5,3,103,44.5,,
WI-078,Menominee County,Wisconsin,44.9,3.7,111,41.2,,
WI-079,Milwaukee County,Wisconsin,49,4.3,117,44.7,,
WI-081,Monroe County,Wisconsin,46.1,1.8,86,44.3,,
WI-083,Oconto County,Wisconsin,44.8,3.6,110,41.2,,
WI-085,Oneida County,Wisconsin,41.2,2.2,90,39,,
WI-087,Outagamie County,Wisconsin,47.1,4.2,113,42.9,,
WI-089,Ozaukee County,Wisconsin,47,3.5,114,43.5,,
WI-091,Pepin County,Wisconsin,46.6,1.6,87,45,,
WI-093,Pierce County,Wisconsin,46.7,2.2,92,44.5,,
WI-095,Polk County,Wisconsin,44.9,2,89,42.9,,
WI-097,Portage County,Wisconsin,46.3,3.2,105,43.1,,
WI-099,Price County,Wisconsin,41.6,2.1,89,39.5,,
WI-101,Racine County,Wisconsin,49.4,4,116,45.4,,
WI-103,Richland County,Wisconsin,47.5,1.8,87,45.7,,
WI-105,Rock County,Wisconsin,48.9,2.3,100,46.6,,
WI-107,Rusk County,Wisconsin,43.3,1.5,84,41.8,,
WI-109,St. Croix County,Wisconsin,46.2,2.3,92,43.9,,
WI-111,Sauk County,Wisconsin,47.6,2.6,100,45,,
WI-113,Sawyer County,Wisconsin,42,2.1,89,39.9,,
WI-115,Shawano County,Wisconsin,45.7,3.8,111,41.9,,
WI-117,Sheboygan County,Wisconsin,46.6,3.8,114,42.8,,
WI-119,Taylor County,Wisconsin,42.9,1.7,86,41.2,,
WI-121,Trempealeau County,Wisconsin,46.4,1.7,86,44.7,,
WI-123,Vernon County,Wisconsin,46.2,1.1,82,45.1,,
WI-125,Vilas County,Wisconsin,40.2,2.3,92,37.9,,
WI-127,Walworth County,Wisconsin,48.8,2.9,106,45.9,,
WI-129,Washburn County,Wisconsin,43.2,2.3,89,40.9,,
WI-131,Washington County,Wisconsin,46.8,3,104,43.8,,
WI-133,Waukesha County,Wisconsin,48.4,3.5,111,44.9,,
WI-135,Waupaca County,Wisconsin,47.1,3.9,110,43.2,,
WI-137,Waushara County,Wisconsin,47,3.3,107,43.7,,
WI-139,Winnebago County,Wisconsin,47.9,4,112,43.9,,
WI-141,Wood County,Wisconsin,45.9,2.5,96,43.4,,
WY-001,Albany County,Wyoming,39.8,3.4,108,36.4,,
WY-003,Big Horn County,Wyoming,43.9,3,102,40.9,,
WY-005,Campbell County,Wyoming,44.7,2.9,106,41.8,,
WY-007,Carbon County,Wyoming,41.1,3.3,106,37.8,,
WY-009,Converse County,Wyoming,43.2,1.9,96,41.3,,
WY-011,Crook County,Wyoming,43.9,2.2,96,41.7,,
WY-013,Fremont County,Wyoming,40.9,3,101,37.9,,
WY-015,Goshen County,Wyoming,46.6,2.8,106,43.8,,
WY-017,Hot Springs County,Wyoming,42.8,2.1,101,40.7,,
WY-019,Johnson County,Wyoming,42.8,2.3,97,40.5,,
WY-021,Laramie County,Wyoming,44.5,3.3,108,41.2,,
WY-023,Lincoln County,Wyoming,38.3,2.8,100,35.5,,
WY-025,Natrona County,Wyoming,43,2.7,101,40.3,,
WY-027,Niobrara County,Wyoming,45.3,2.2,99,43.1,,
WY-029,Park County,Wyoming,38.6,3.1,105,35.5,,
WY-031,Platte County,Wyoming,45.8,2.8,104,43,,
WY-033,Sheridan County,Wyoming,43,2.8,101,40.2,,
WY-035,Sublette County,Wyoming,36,2.6,99,33.4,,
WY-037,Sweetwater County,Wyoming,42.5,3.4,106,39.1,,
WY-039,Teton County,Wyoming,34.7,2.3,98,32.4,,
WY-041,Uinta County,Wyoming,39.9,2.6,100,37.3,,
WY-043,Washakie County,Wyoming,45,2.3,101,42.7,,
WY-045,Weston County,Wyoming,44.8,2.6,100,42.2,,
